"address","lon","lat","as.character.d.display_name.","elapsed_time"
" Budafoki temeto Budapest XXII. kerület",19.0315610380637,47.42426745,"Budafoki temeto, Budafok, XXII. kerület, Budapest, Közép-Magyarország, 1222, Magyarország",0.273463010787964
" Ülloi út Budapest X. kerület",19.1093607,47.4717742,"Ülloi út, Gyárdulo, IX. kerület, Budapest, Közép-Magyarország, 1098, Magyarország",0.307019948959351
" Kelenföld Budapest XI. kerület",19.0411082,47.465171,"Kelenföld, XI. kerület, Budapest, Közép-Magyarország, Magyarország",0.261943817138672
" Józsefváros – Csarnoknegyed Budapest VIII. kerület",NA,NA,NA,0.254057168960571
" Ormánság utca Budapest XIV. kerület",19.1442642,47.512102,"Ormánság utca, Füredi utcai lakótelep, Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, 1144, Magyarország",0.526730060577393
" Dembinszky utca Budapest VII. kerület",19.0773551,47.505034,"Dembinszky utca, Ligetváros, Erzsébetváros, VII. kerület, Budapest, Közép-Magyarország, 1071, Magyarország",0.268983840942383
" Külso-Terézváros Budapest VI. kerület",19.0253263,47.5091897,"külso lépcso, Fény utcai piac, Országút, II. kerület, Budapest, Közép-Magyarország, 1024, Magyarország",0.309001922607422
" Újlipótváros Budapest XIII. kerület",19.0543194,47.5180411,"Újlipótváros, XIII. kerület, Budapest, Közép-Magyarország, Magyarország",0.270945072174072
" Külso-Terézváros Budapest VI. kerület",19.0253263,47.5091897,"külso lépcso, Fény utcai piac, Országút, II. kerület, Budapest, Közép-Magyarország, 1024, Magyarország",0.261116027832031
" Alsórákos Budapest XIV. kerület",19.1282801,47.5251778,"Alsórákos, XIV. kerület, Budapest, Közép-Magyarország, Magyarország",0.295407056808472
" Liliom utca Budapest IX. kerület",19.0704618,47.4806694,"Liliom utca, Középso-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1094, Magyarország",0.2741539478302
" Petofi Sándor utca Budapest V. kerület",19.0550132,47.4936642,"Petofi Sándor utca, Belváros, V. kerület, Budapest, Közép-Magyarország, 1052, Magyarország",0.287324190139771
" Megyeri út Budapest IV. kerület",19.0903469,47.5820435,"Megyeri út, Izzó lakótelep, Megyer, IV. kerület, Budapest, Közép-Magyarország, 1044, Magyarország",0.269680976867676
